mes,mes_texto,tipo_semana,hora_periodo,hora_inicio,hora_fin,Time,periodo_tarifario
10,Oct,Weekday,19,18,19,18-19,P4
10,Oct,Weekday,20,19,20,19-20,P4
10,Oct,Weekday,21,20,21,20-21,P4
10,Oct,Weekday,22,21,22,21-22,P4
10,Oct,Weekday,23,22,23,22-23,P5
10,Oct,Weekday,24,23,24,23-24,P5
10,Oct,Weekend,1,0,1,0-1,P6
10,Oct,Weekend,2,1,2,1-2,P6
10,Oct,Weekend,3,2,3,2-3,P6
10,Oct,Weekend,4,3,4,3-4,P6
10,Oct,Weekend,5,4,5,4-5,P6
10,Oct,Weekend,6,5,6,5-6,P6
10,Oct,Weekend,7,6,7,6-7,P6
10,Oct,Weekend,8,7,8,7-8,P6
10,Oct,Weekend,9,8,9,8-9,P6
10,Oct,Weekend,10,9,10,9-10,P6
10,Oct,Weekend,11,10,11,10-11,P6
10,Oct,Weekend,12,11,12,11-12,P6
10,Oct,Weekend,13,12,13,12-13,P6
10,Oct,Weekend,14,13,14,13-14,P6
10,Oct,Weekend,15,14,15,14-15,P6
10,Oct,Weekend,16,15,16,15-16,P6
10,Oct,Weekend,17,16,17,16-17,P6
10,Oct,Weekend,18,17,18,17-18,P6
10,Oct,Weekend,19,18,19,18-19,P6
10,Oct,Weekend,20,19,20,19-20,P6
10,Oct,Weekend,21,20,21,20-21,P6
10,Oct,Weekend,22,21,22,21-22,P6
10,Oct,Weekend,23,22,23,22-23,P6
10,Oct,Weekend,24,23,24,23-24,P6
11,Nov,Weekday,1,0,1,0-1,P6
11,Nov,Weekday,2,1,2,1-2,P6
11,Nov,Weekday,3,2,3,2-3,P6
11,Nov,Weekday,4,3,4,3-4,P6
11,Nov,Weekday,5,4,5,4-5,P6
11,Nov,Weekday,6,5,6,5-6,P6
11,Nov,Weekday,7,6,7,6-7,P6
11,Nov,Weekday,8,7,8,7-8,P6
11,Nov,Weekday,9,8,9,8-9,P3
11,Nov,Weekday,10,9,10,9-10,P2
11,Nov,Weekday,11,10,11,10-11,P2
11,Nov,Weekday,12,11,12,11-12,P2
11,Nov,Weekday,13,12,13,12-13,P2
11,Nov,Weekday,14,13,14,13-14,P2
11,Nov,Weekday,15,14,15,14-15,P3
11,Nov,Weekday,16,15,16,15-16,P3
11,Nov,Weekday,17,16,17,16-17,P3
11,Nov,Weekday,18,17,18,17-18,P3
11,Nov,Weekday,19,18,19,18-19,P2
11,Nov,Weekday,20,19,20,19-20,P2
11,Nov,Weekday,21,20,21,20-21,P2
11,Nov,Weekday,22,21,22,21-22,P2
